0,undefined
1,MRF PCIE EVR 300DC
2,MRF MTCA EVR 300U
3,MRF MTCA EVG 300
4,MRF IFB 300
5,MRF VME-EVG-230
6,MRF VME-FOUT-12
7,MRF CPCI-FOUT-12
8,MRF CPCI-EVG-230
11,Shroff MTCA 3U Crate
12,Shroff MTCA 9U Crate
13,Concurrent MTCA CPU
14,NAT MTCA Power Module
15,NAT MTCA MCH PHYS
16,MTCA 2 U Crate
17,Wiener MTCA Power Module
20,IOxOS IFC1410
21,IOxOS IFC1420
22,IOxOS ADC 3110 A0
23,IOxOS ADC 3117
24,IOxOS DIO 3118
25,IOxOS ADC 3112
30,Struck SIS8300L2
31,Struck SIS8300KU
32,Struck SIS8900
50,Raritan PDU PX3-5190R
51,Raritan PDU PX3-5260R
52,Raritan PDU PX3-5260V
60,Dell R230
61,Adlink MVP-6021
62,Dell R330
63,Beckhoff CX5130-0100
64,Lenovo Thinkpad W540
65,Raritan KVM DKX3-808
70,CPCI 3U Crate
71,CPCI 2U Crate
72,CPCI EKF CPU 
90,Barcode Scanner Xenon 190x
91,Dymo LabelWriter 450 Duo
92,MOXA NPORT 6650
93,MEINBURG LANTIME M1000
94,RS SMA 100A
99,APC Smart UPS 1000
